StartTime(UTC),EndTime(UTC),Type,Severity
2016-01-01 11:00:00,2016-01-01 13:00:00,Snow,Light
2016-01-03 23:00:00,2016-01-04 06:00:00,Snow,Light
2016-01-04 15:30:00,2016-01-04 17:00:00,Snow,Light
2016-01-04 18:00:00,2016-01-05 02:00:00,Snow,Light
2016-01-08 08:00:00,2016-01-08 14:15:00,Rain,Light
2016-01-08 15:00:00,2016-01-08 18:15:00,Rain,Light
2016-01-08 18:45:00,2016-01-08 19:00:00,Rain,Light
2016-01-08 19:00:00,2016-01-08 21:00:00,Rain,Light
2016-01-08 21:15:00,2016-01-08 23:45:00,Rain,Light
2016-01-08 23:45:00,2016-01-09 00:45:00,Rain,Moderate
2016-01-09 00:45:00,2016-01-09 03:00:00,Rain,Light
2016-01-09 05:00:00,2016-01-09 06:00:00,Rain,Light
2016-01-09 15:00:00,2016-01-09 16:00:00,Rain,Light
2016-01-09 19:00:00,2016-01-09 20:45:00,Rain,Light
2016-01-09 21:00:00,2016-01-09 22:00:00,Snow,Light
2016-01-09 22:30:00,2016-01-09 23:00:00,Snow,Moderate
2016-01-09 23:00:00,2016-01-10 05:00:00,Snow,Light
2016-01-10 06:00:00,2016-01-10 08:00:00,Snow,Light
2016-01-10 17:00:00,2016-01-10 18:00:00,Snow,Light
2016-01-11 18:00:00,2016-01-11 21:15:00,Snow,Light
2016-01-11 22:00:00,2016-01-12 01:45:00,Snow,Light
2016-01-12 01:45:00,2016-01-12 02:30:00,Snow,Moderate
2016-01-12 02:30:00,2016-01-12 08:00:00,Snow,Light
2016-01-12 09:00:00,2016-01-12 13:30:00,Snow,Light
2016-01-13 17:00:00,2016-01-13 22:00:00,Snow,Light
2016-01-15 16:00:00,2016-01-15 17:30:00,Rain,Light
2016-01-15 18:15:00,2016-01-15 19:00:00,Rain,Light
2016-01-16 03:00:00,2016-01-16 06:00:00,Snow,Light
2016-01-20 07:00:00,2016-01-20 17:00:00,Snow,Light
2016-01-22 15:00:00,2016-01-22 21:00:00,Snow,Light
2016-01-23 01:00:00,2016-01-23 03:00:00,Snow,Light
2016-01-23 07:00:00,2016-01-23 12:00:00,Snow,Light
2016-01-25 22:30:00,2016-01-26 02:15:00,Rain,Light
2016-01-26 05:00:00,2016-01-26 08:30:00,Rain,Light
2016-01-26 09:00:00,2016-01-26 12:00:00,Snow,Light
2016-01-26 23:00:00,2016-01-27 02:00:00,Snow,Light
2016-01-27 15:15:00,2016-01-27 18:00:00,Snow,Light
2016-01-28 22:15:00,2016-01-28 23:00:00,Rain,Light
2016-01-28 23:00:00,2016-01-29 00:30:00,Snow,Light
2016-01-31 05:00:00,2016-01-31 06:00:00,Rain,Light
2016-01-31 18:00:00,2016-01-31 19:00:00,Rain,Light
2016-01-31 22:00:00,2016-01-31 23:00:00,Rain,Light
2016-02-02 16:00:00,2016-02-02 19:00:00,Rain,Light
2016-02-02 19:00:00,2016-02-02 19:15:00,Rain,Moderate
2016-02-02 19:15:00,2016-02-02 22:45:00,Rain,Light
2016-02-02 22:45:00,2016-02-02 23:00:00,Rain,Moderate
2016-02-02 23:00:00,2016-02-03 03:00:00,Rain,Light
2016-02-03 18:45:00,2016-02-03 19:30:00,Rain,Light
2016-02-03 23:00:00,2016-02-04 01:00:00,Rain,Light
2016-02-04 01:00:00,2016-02-04 13:00:00,Snow,Light
2016-02-05 10:00:00,2016-02-05 11:00:00,Snow,Light
2016-02-05 15:00:00,2016-02-05 16:30:00,Snow,Light
2016-02-08 11:30:00,2016-02-08 15:00:00,Snow,Light
2016-02-09 01:00:00,2016-02-10 08:00:00,Snow,Light
2016-02-12 15:00:00,2016-02-12 17:45:00,Snow,Light
2016-02-14 18:00:00,2016-02-15 08:45:00,Snow,Light
2016-02-15 08:45:00,2016-02-15 14:15:00,Rain,Light
2016-02-15 20:00:00,2016-02-15 22:00:00,Snow,Light
2016-02-15 23:00:00,2016-02-16 02:30:00,Snow,Light
2016-02-16 21:00:00,2016-02-17 04:00:00,Snow,Light
2016-02-19 18:00:00,2016-02-19 19:00:00,Storm,Severe
2016-02-24 15:45:00,2016-02-24 16:15:00,Snow,Light
2016-02-24 18:00:00,2016-02-24 18:30:00,Snow,Light
2016-02-24 20:15:00,2016-02-25 06:00:00,Snow,Light
2016-02-25 08:00:00,2016-02-25 14:00:00,Snow,Light
2016-02-26 04:00:00,2016-02-26 05:00:00,Snow,Light
2016-02-26 09:00:00,2016-02-26 10:00:00,Snow,Light
2016-02-28 22:00:00,2016-02-28 23:00:00,Rain,Light
2016-02-29 02:00:00,2016-02-29 03:00:00,Rain,Light
